day	hour	value
1	1	95
1	2	28
1	3	16
1	4	84
1	5	73
1	6	76
1	7	72
1	8	87
1	9	83
2	1	77
2	2	29
2	3	6
2	4	66
2	5	85
2	6	30
2	7	73
2	8	18
2	9	39
3	1	13
3	2	10
3	3	24
3	4	87
3	5	56
3	6	38
3	7	12
3	8	31
3	9	60
4	1	45
4	2	94
4	3	2
4	4	84
4	5	19
4	6	31
4	7	86
4	8	97
4	9	25
5	1	29
5	2	14
5	3	56
5	4	9
5	5	60
5	6	77
5	7	85
5	8	39
5	9	25
6	1	2
6	2	13
6	3	87
6	4	53
6	5	21
6	6	64
6	7	51
6	8	7
6	9	86
7	1	7
7	2	40
7	3	90
7	4	54
7	5	18
7	6	81
7	7	7
7	8	83
7	9	75
8	1	42
8	2	42
8	3	81
8	4	30
8	5	66
8	6	75
8	7	12
8	8	50
8	9	43
9	1	77
9	2	50
9	3	96
9	4	41
9	5	31
9	6	54
9	7	93
9	8	0
9	9	46
