day	hour	value
1	1	16
1	2	37
1	3	78
1	4	55
1	5	6
1	6	83
1	7	47
1	8	92
1	9	68
1	10	16
1	11	66
1	12	32
1	13	95
1	14	20
1	15	99
1	16	58
1	17	25
1	18	26
1	19	72
1	20	42
1	21	68
1	22	95
1	23	9
1	24	47
1	25	95
1	26	67
1	27	59
1	28	45
1	29	6
1	30	96
1	31	15
1	32	74
1	33	91
1	34	0
1	35	48
1	36	49
1	37	73
1	38	30
1	39	50
1	40	70
1	41	55
1	42	60
1	43	16
1	44	75
1	45	85
1	46	13
1	47	23
1	48	30
1	49	92
1	50	19
1	51	68
1	52	90
1	53	65
1	54	56
1	55	84
1	56	12
1	57	39
1	58	58
1	59	12
1	60	94
1	61	11
1	62	54
1	63	1
1	64	30
1	65	0
1	66	76
1	67	66
1	68	86
1	69	56
1	70	70
1	71	27
1	72	94
1	73	17
1	74	4
1	75	0
1	76	28
1	77	66
1	78	16
1	79	26
1	80	10
1	81	10
1	82	8
1	83	3
1	84	17
1	85	95
1	86	91
1	87	25
1	88	39
1	89	86
1	90	3
1	91	6
1	92	25
1	93	62
1	94	44
1	95	34
1	96	9
1	97	8
1	98	62
1	99	98
1	100	63
2	1	12
2	2	62
2	3	72
2	4	3
2	5	30
2	6	93
2	7	35
2	8	57
2	9	84
2	10	84
2	11	91
2	12	8
2	13	98
2	14	51
2	15	17
2	16	6
2	17	26
2	18	69
2	19	16
2	20	88
2	21	0
2	22	93
2	23	48
2	24	36
2	25	22
2	26	83
2	27	94
2	28	66
2	29	1
2	30	10
2	31	52
2	32	61
2	33	27
2	34	85
2	35	25
2	36	13
2	37	71
2	38	69
2	39	17
2	40	95
2	41	94
2	42	57
2	43	55
2	44	28
2	45	35
2	46	58
2	47	9
2	48	0
2	49	62
2	50	74
2	51	14
2	52	23
2	53	47
2	54	88
2	55	42
2	56	37
2	57	60
2	58	4
2	59	15
2	60	41
2	61	85
2	62	67
2	63	5
2	64	76
2	65	54
2	66	27
2	67	73
2	68	43
2	69	95
2	70	20
2	71	39
2	72	21
2	73	68
2	74	2
2	75	89
2	76	63
2	77	78
2	78	23
2	79	11
2	80	41
2	81	72
2	82	28
2	83	13
2	84	50
2	85	35
2	86	97
2	87	39
2	88	30
2	89	90
2	90	59
2	91	56
2	92	95
2	93	44
2	94	33
2	95	73
2	96	76
2	97	77
2	98	7
2	99	61
2	100	31
3	1	75
3	2	67
3	3	84
3	4	65
3	5	75
3	6	33
3	7	51
3	8	90
3	9	71
3	10	78
3	11	43
3	12	16
3	13	7
3	14	49
3	15	63
3	16	93
3	17	69
3	18	60
3	19	30
3	20	62
3	21	43
3	22	2
3	23	6
3	24	98
3	25	69
3	26	87
3	27	29
3	28	85
3	29	54
3	30	0
3	31	1
3	32	24
3	33	71
3	34	78
3	35	12
3	36	47
3	37	93
3	38	40
3	39	59
3	40	79
3	41	76
3	42	26
3	43	9
3	44	86
3	45	22
3	46	86
3	47	51
3	48	97
3	49	5
3	50	7
3	51	23
3	52	59
3	53	7
3	54	30
3	55	90
3	56	95
3	57	93
3	58	76
3	59	65
3	60	83
3	61	67
3	62	35
3	63	23
3	64	2
3	65	99
3	66	17
3	67	39
3	68	4
3	69	32
3	70	0
3	71	33
3	72	61
3	73	66
3	74	95
3	75	77
3	76	73
3	77	79
3	78	84
3	79	82
3	80	15
3	81	43
3	82	57
3	83	16
3	84	78
3	85	77
3	86	78
3	87	19
3	88	47
3	89	8
3	90	48
3	91	88
3	92	60
3	93	51
3	94	97
3	95	2
3	96	11
3	97	31
3	98	89
3	99	92
3	100	23
4	1	91
4	2	62
4	3	5
4	4	19
4	5	78
4	6	98
4	7	65
4	8	11
4	9	13
4	10	63
4	11	14
4	12	65
4	13	29
4	14	27
4	15	35
4	16	82
4	17	86
4	18	24
4	19	35
4	20	23
4	21	32
4	22	63
4	23	98
4	24	55
4	25	67
4	26	47
4	27	59
4	28	10
4	29	57
4	30	62
4	31	17
4	32	90
4	33	11
4	34	6
4	35	15
4	36	47
4	37	10
4	38	85
4	39	93
4	40	83
4	41	25
4	42	99
4	43	73
4	44	30
4	45	83
4	46	72
4	47	15
4	48	0
4	49	65
4	50	11
4	51	12
4	52	5
4	53	47
4	54	41
4	55	38
4	56	27
4	57	28
4	58	73
4	59	6
4	60	87
4	61	84
4	62	45
4	63	93
4	64	97
4	65	2
4	66	40
4	67	3
4	68	38
4	69	24
4	70	33
4	71	52
4	72	35
4	73	22
4	74	78
4	75	38
4	76	47
4	77	40
4	78	27
4	79	59
4	80	26
4	81	54
4	82	39
4	83	54
4	84	92
4	85	1
4	86	80
4	87	43
4	88	37
4	89	55
4	90	91
4	91	93
4	92	74
4	93	0
4	94	46
4	95	16
4	96	56
4	97	30
4	98	58
4	99	63
4	100	40
5	1	10
5	2	83
5	3	10
5	4	83
5	5	61
5	6	46
5	7	6
5	8	51
5	9	59
5	10	5
5	11	16
5	12	46
5	13	31
5	14	43
5	15	71
5	16	55
5	17	66
5	18	46
5	19	27
5	20	16
5	21	1
5	22	22
5	23	31
5	24	26
5	25	11
5	26	0
5	27	39
5	28	93
5	29	48
5	30	34
5	31	97
5	32	75
5	33	26
5	34	87
5	35	52
5	36	85
5	37	52
5	38	5
5	39	32
5	40	55
5	41	80
5	42	3
5	43	94
5	44	65
5	45	64
5	46	35
5	47	51
5	48	24
5	49	77
5	50	30
5	51	8
5	52	67
5	53	5
5	54	12
5	55	77
5	56	38
5	57	82
5	58	49
5	59	35
5	60	19
5	61	97
5	62	8
5	63	1
5	64	20
5	65	38
5	66	65
5	67	32
5	68	85
5	69	71
5	70	89
5	71	42
5	72	11
5	73	6
5	74	48
5	75	6
5	76	48
5	77	54
5	78	61
5	79	39
5	80	33
5	81	73
5	82	23
5	83	81
5	84	65
5	85	31
5	86	45
5	87	91
5	88	74
5	89	87
5	90	0
5	91	7
5	92	94
5	93	24
5	94	2
5	95	11
5	96	34
5	97	69
5	98	71
5	99	53
5	100	44
6	1	90
6	2	84
6	3	77
6	4	77
6	5	66
6	6	4
6	7	83
6	8	98
6	9	51
6	10	32
6	11	99
6	12	22
6	13	50
6	14	60
6	15	88
6	16	11
6	17	36
6	18	65
6	19	22
6	20	47
6	21	48
6	22	38
6	23	3
6	24	55
6	25	39
6	26	84
6	27	45
6	28	2
6	29	63
6	30	80
6	31	9
6	32	39
6	33	64
6	34	91
6	35	44
6	36	64
6	37	97
6	38	67
6	39	20
6	40	91
6	41	95
6	42	18
6	43	75
6	44	32
6	45	35
6	46	99
6	47	0
6	48	43
6	49	98
6	50	10
6	51	1
6	52	80
6	53	64
6	54	59
6	55	15
6	56	86
6	57	82
6	58	86
6	59	35
6	60	62
6	61	67
6	62	95
6	63	68
6	64	23
6	65	30
6	66	0
6	67	71
6	68	75
6	69	62
6	70	58
6	71	57
6	72	36
6	73	96
6	74	70
6	75	46
6	76	17
6	77	35
6	78	1
6	79	40
6	80	28
6	81	32
6	82	92
6	83	56
6	84	27
6	85	32
6	86	67
6	87	28
6	88	75
6	89	93
6	90	92
6	91	18
6	92	14
6	93	90
6	94	91
6	95	26
6	96	5
6	97	40
6	98	33
6	99	63
6	100	32
7	1	54
7	2	99
7	3	42
7	4	9
7	5	74
7	6	20
7	7	38
7	8	47
7	9	97
7	10	13
7	11	48
7	12	11
7	13	88
7	14	27
7	15	64
7	16	10
7	17	66
7	18	73
7	19	45
7	20	41
7	21	49
7	22	9
7	23	76
7	24	59
7	25	52
7	26	29
7	27	97
7	28	28
7	29	82
7	30	24
7	31	46
7	32	50
7	33	80
7	34	28
7	35	64
7	36	36
7	37	93
7	38	65
7	39	95
7	40	9
7	41	54
7	42	18
7	43	20
7	44	17
7	45	64
7	46	51
7	47	57
7	48	61
7	49	7
7	50	30
7	51	76
7	52	94
7	53	83
7	54	73
7	55	91
7	56	82
7	57	76
7	58	40
7	59	38
7	60	41
7	61	85
7	62	91
7	63	62
7	64	42
7	65	99
7	66	27
7	67	39
7	68	83
7	69	44
7	70	4
7	71	31
7	72	16
7	73	91
7	74	13
7	75	77
7	76	32
7	77	1
7	78	66
7	79	94
7	80	5
7	81	41
7	82	84
7	83	91
7	84	49
7	85	98
7	86	73
7	87	9
7	88	1
7	89	34
7	90	70
7	91	90
7	92	50
7	93	88
7	94	22
7	95	77
7	96	81
7	97	48
7	98	61
7	99	88
7	100	9
8	1	19
8	2	4
8	3	51
8	4	54
8	5	30
8	6	19
8	7	6
8	8	67
8	9	94
8	10	89
8	11	79
8	12	71
8	13	93
8	14	7
8	15	47
8	16	77
8	17	3
8	18	49
8	19	54
8	20	59
8	21	29
8	22	96
8	23	19
8	24	88
8	25	54
8	26	63
8	27	74
8	28	0
8	29	68
8	30	15
8	31	38
8	32	69
8	33	77
8	34	68
8	35	36
8	36	71
8	37	51
8	38	84
8	39	20
8	40	43
8	41	20
8	42	90
8	43	57
8	44	19
8	45	21
8	46	1
8	47	56
8	48	15
8	49	99
8	50	61
8	51	61
8	52	71
8	53	77
8	54	17
8	55	43
8	56	69
8	57	12
8	58	22
8	59	51
8	60	90
8	61	32
8	62	89
8	63	95
8	64	63
8	65	6
8	66	82
8	67	11
8	68	32
8	69	98
8	70	27
8	71	17
8	72	18
8	73	12
8	74	47
8	75	41
8	76	42
8	77	59
8	78	42
8	79	77
8	80	23
8	81	74
8	82	51
8	83	66
8	84	61
8	85	13
8	86	19
8	87	26
8	88	79
8	89	58
8	90	63
8	91	48
8	92	45
8	93	67
8	94	24
8	95	16
8	96	29
8	97	58
8	98	94
8	99	78
8	100	3
9	1	15
9	2	43
9	3	90
9	4	61
9	5	62
9	6	33
9	7	28
9	8	49
9	9	50
9	10	62
9	11	19
9	12	22
9	13	39
9	14	84
9	15	88
9	16	68
9	17	20
9	18	3
9	19	93
9	20	50
9	21	14
9	22	79
9	23	76
9	24	24
9	25	98
9	26	14
9	27	81
9	28	29
9	29	95
9	30	37
9	31	13
9	32	24
9	33	72
9	34	70
9	35	80
9	36	67
9	37	37
9	38	14
9	39	95
9	40	54
9	41	92
9	42	90
9	43	76
9	44	42
9	45	90
9	46	50
9	47	70
9	48	8
9	49	30
9	50	44
9	51	24
9	52	25
9	53	43
9	54	40
9	55	86
9	56	96
9	57	48
9	58	99
9	59	72
9	60	90
9	61	10
9	62	37
9	63	84
9	64	28
9	65	49
9	66	77
9	67	71
9	68	14
9	69	19
9	70	12
9	71	42
9	72	4
9	73	50
9	74	45
9	75	77
9	76	65
9	77	26
9	78	72
9	79	69
9	80	81
9	81	28
9	82	30
9	83	8
9	84	74
9	85	69
9	86	48
9	87	49
9	88	50
9	89	67
9	90	20
9	91	3
9	92	54
9	93	49
9	94	24
9	95	64
9	96	98
9	97	73
9	98	74
9	99	40
9	100	26
10	1	10
10	2	0
10	3	42
10	4	49
10	5	21
10	6	21
10	7	66
10	8	42
10	9	6
10	10	10
10	11	38
10	12	45
10	13	63
10	14	86
10	15	89
10	16	98
10	17	91
10	18	10
10	19	84
10	20	63
10	21	56
10	22	92
10	23	11
10	24	5
10	25	42
10	26	87
10	27	36
10	28	5
10	29	28
10	30	2
10	31	29
10	32	32
10	33	20
10	34	62
10	35	39
10	36	1
10	37	96
10	38	34
10	39	50
10	40	17
10	41	45
10	42	1
10	43	95
10	44	82
10	45	6
10	46	56
10	47	12
10	48	59
10	49	98
10	50	62
10	51	20
10	52	93
10	53	81
10	54	34
10	55	9
10	56	85
10	57	94
10	58	55
10	59	55
10	60	63
10	61	30
10	62	89
10	63	5
10	64	56
10	65	96
10	66	69
10	67	10
10	68	20
10	69	10
10	70	56
10	71	19
10	72	34
10	73	22
10	74	8
10	75	6
10	76	16
10	77	16
10	78	52
10	79	87
10	80	8
10	81	66
10	82	12
10	83	94
10	84	45
10	85	56
10	86	4
10	87	99
10	88	86
10	89	66
10	90	15
10	91	13
10	92	3
10	93	25
10	94	98
10	95	41
10	96	16
10	97	33
10	98	45
10	99	44
10	100	91
11	1	96
11	2	74
11	3	86
11	4	90
11	5	64
11	6	25
11	7	75
11	8	50
11	9	24
11	10	19
11	11	37
11	12	69
11	13	33
11	14	75
11	15	99
11	16	73
11	17	2
11	18	80
11	19	72
11	20	30
11	21	59
11	22	34
11	23	40
11	24	94
11	25	47
11	26	80
11	27	8
11	28	20
11	29	0
11	30	30
11	31	16
11	32	57
11	33	91
11	34	31
11	35	44
11	36	60
11	37	5
11	38	49
11	39	39
11	40	86
11	41	28
11	42	45
11	43	29
11	44	90
11	45	32
11	46	47
11	47	53
11	48	51
11	49	84
11	50	21
11	51	80
11	52	21
11	53	40
11	54	98
11	55	88
11	56	73
11	57	24
11	58	88
11	59	24
11	60	12
11	61	72
11	62	58
11	63	51
11	64	23
11	65	57
11	66	75
11	67	76
11	68	67
11	69	90
11	70	98
11	71	22
11	72	24
11	73	67
11	74	16
11	75	41
11	76	98
11	77	87
11	78	58
11	79	97
11	80	61
11	81	41
11	82	79
11	83	32
11	84	49
11	85	48
11	86	0
11	87	33
11	88	16
11	89	85
11	90	80
11	91	19
11	92	55
11	93	67
11	94	6
11	95	72
11	96	76
11	97	53
11	98	79
11	99	3
11	100	84
12	1	48
12	2	25
12	3	96
12	4	62
12	5	27
12	6	93
12	7	71
12	8	50
12	9	9
12	10	0
12	11	73
12	12	33
12	13	80
12	14	11
12	15	69
12	16	36
12	17	46
12	18	26
12	19	74
12	20	46
12	21	83
12	22	6
12	23	54
12	24	6
12	25	30
12	26	40
12	27	87
12	28	59
12	29	85
12	30	25
12	31	31
12	32	7
12	33	4
12	34	58
12	35	82
12	36	23
12	37	7
12	38	34
12	39	24
12	40	64
12	41	50
12	42	80
12	43	84
12	44	45
12	45	51
12	46	75
12	47	15
12	48	71
12	49	29
12	50	65
12	51	75
12	52	67
12	53	63
12	54	53
12	55	23
12	56	88
12	57	5
12	58	38
12	59	16
12	60	86
12	61	37
12	62	62
12	63	15
12	64	17
12	65	7
12	66	73
12	67	56
12	68	44
12	69	81
12	70	60
12	71	47
12	72	64
12	73	89
12	74	18
12	75	26
12	76	70
12	77	68
12	78	12
12	79	6
12	80	1
12	81	69
12	82	19
12	83	54
12	84	84
