day	hour	value
1	1	77
1	2	19
1	3	62
1	4	81
1	5	93
1	6	79
1	7	17
1	8	96
1	9	12
2	1	16
2	2	37
2	3	39
2	4	23
2	5	69
2	6	77
2	7	31
2	8	54
2	9	9
3	1	99
3	2	62
3	3	58
3	4	68
3	5	95
3	6	10
3	7	53
3	8	25
3	9	95
4	1	23
4	2	78
4	3	13
4	4	40
4	5	42
4	6	61
4	7	61
4	8	97
4	9	60
5	1	80
5	2	35
5	3	96
5	4	55
5	5	18
5	6	94
5	7	99
5	8	69
5	9	29
6	1	29
6	2	80
6	3	85
6	4	73
6	5	46
6	6	4
6	7	74
6	8	59
6	9	87
7	1	95
7	2	6
7	3	73
7	4	87
7	5	13
7	6	20
7	7	79
7	8	29
7	9	32
8	1	50
8	2	31
8	3	62
8	4	41
8	5	4
8	6	43
8	7	66
8	8	17
8	9	70
9	1	5
9	2	42
9	3	39
9	4	55
9	5	3
9	6	85
9	7	64
9	8	58
9	9	11
