day	hour	value
1	1	9
1	2	15
1	3	29
1	4	66
1	5	70
1	6	98
1	7	16
1	8	70
1	9	90
1	10	68
1	11	28
1	12	51
1	13	44
1	14	64
1	15	71
1	16	46
1	17	64
1	18	37
1	19	60
1	20	51
1	21	30
1	22	39
1	23	61
1	24	61
1	25	29
1	26	42
1	27	62
1	28	0
1	29	97
1	30	99
1	31	8
1	32	90
1	33	80
1	34	77
1	35	23
1	36	12
1	37	41
1	38	29
1	39	0
1	40	61
1	41	38
1	42	67
1	43	15
1	44	50
1	45	80
1	46	58
1	47	12
1	48	19
1	49	38
1	50	99
1	51	10
1	52	82
1	53	16
1	54	97
1	55	39
1	56	15
1	57	60
1	58	7
1	59	40
1	60	21
1	61	50
1	62	8
1	63	71
1	64	0
1	65	7
1	66	71
1	67	4
1	68	36
1	69	59
1	70	1
1	71	29
1	72	17
1	73	30
1	74	31
1	75	64
1	76	84
1	77	60
1	78	98
1	79	14
1	80	75
1	81	20
1	82	95
1	83	45
1	84	96
1	85	87
1	86	40
1	87	90
1	88	58
1	89	64
1	90	59
1	91	23
1	92	95
1	93	26
1	94	6
1	95	96
1	96	44
1	97	46
1	98	40
1	99	43
1	100	32
2	1	68
2	2	58
2	3	71
2	4	36
2	5	52
2	6	79
2	7	81
2	8	33
2	9	16
2	10	44
2	11	88
2	12	37
2	13	41
2	14	24
2	15	42
2	16	54
2	17	92
2	18	82
2	19	76
2	20	56
2	21	87
2	22	28
2	23	72
2	24	92
2	25	29
2	26	86
2	27	30
2	28	25
2	29	15
2	30	53
2	31	66
2	32	14
2	33	15
2	34	29
2	35	11
2	36	89
2	37	34
2	38	40
2	39	33
2	40	66
2	41	24
2	42	92
2	43	6
2	44	61
2	45	19
2	46	3
2	47	38
2	48	3
2	49	26
2	50	44
2	51	65
2	52	17
2	53	44
2	54	43
2	55	35
2	56	85
2	57	22
2	58	45
2	59	80
2	60	9
2	61	50
2	62	83
2	63	55
2	64	58
2	65	79
2	66	49
2	67	95
2	68	88
2	69	82
2	70	11
2	71	83
2	72	5
2	73	91
2	74	84
2	75	79
2	76	85
2	77	47
2	78	66
2	79	20
2	80	70
2	81	8
2	82	2
2	83	97
2	84	78
2	85	76
2	86	93
2	87	0
2	88	42
2	89	26
2	90	94
2	91	30
2	92	5
2	93	8
2	94	86
2	95	34
2	96	51
2	97	54
2	98	97
2	99	49
2	100	36
3	1	32
3	2	93
3	3	58
3	4	7
3	5	40
3	6	96
3	7	42
3	8	80
3	9	57
3	10	71
3	11	82
3	12	71
3	13	95
3	14	94
3	15	60
3	16	39
3	17	4
3	18	83
3	19	45
3	20	31
3	21	60
3	22	35
3	23	51
3	24	22
3	25	98
3	26	19
3	27	37
3	28	14
3	29	59
3	30	62
3	31	93
3	32	80
3	33	65
3	34	62
3	35	58
3	36	98
3	37	75
3	38	79
3	39	16
3	40	23
3	41	69
3	42	47
3	43	41
3	44	58
3	45	98
3	46	74
3	47	45
3	48	70
3	49	41
3	50	55
3	51	58
3	52	96
3	53	25
3	54	79
3	55	29
3	56	67
3	57	42
3	58	26
3	59	78
3	60	75
3	61	38
3	62	10
3	63	61
3	64	75
3	65	67
3	66	37
3	67	57
3	68	63
3	69	22
3	70	34
3	71	45
3	72	77
3	73	53
3	74	96
3	75	42
3	76	6
3	77	77
3	78	14
3	79	39
3	80	57
3	81	35
3	82	37
3	83	30
3	84	73
3	85	35
3	86	45
3	87	61
3	88	84
3	89	5
3	90	6
3	91	0
3	92	96
3	93	18
3	94	55
3	95	37
3	96	56
3	97	76
3	98	37
3	99	29
3	100	44
4	1	70
4	2	24
