day	hour	value
1	1	9
1	2	31
1	3	75
1	4	63
1	5	87
1	6	8
1	7	94
1	8	81
1	9	43
1	10	2
1	11	76
1	12	16
1	13	35
1	14	8
1	15	57
1	16	56
1	17	32
1	18	78
1	19	1
1	20	58
1	21	46
1	22	13
1	23	88
1	24	65
1	25	64
1	26	65
1	27	43
1	28	36
1	29	86
1	30	67
1	31	88
1	32	42
1	33	6
1	34	32
1	35	99
1	36	35
1	37	67
1	38	29
1	39	18
1	40	22
1	41	11
1	42	88
1	43	21
1	44	55
1	45	47
1	46	96
1	47	71
1	48	85
1	49	18
1	50	18
1	51	81
1	52	71
1	53	46
1	54	56
1	55	43
1	56	58
1	57	78
1	58	94
1	59	2
1	60	29
1	61	89
1	62	25
1	63	58
1	64	49
1	65	75
1	66	91
1	67	53
1	68	46
1	69	48
1	70	48
1	71	76
1	72	38
1	73	62
1	74	60
1	75	64
1	76	51
1	77	22
1	78	40
1	79	1
1	80	32
1	81	78
1	82	19
1	83	68
1	84	8
1	85	49
1	86	31
1	87	12
1	88	10
1	89	81
1	90	86
1	91	40
1	92	92
1	93	20
1	94	49
1	95	11
1	96	23
1	97	75
1	98	50
1	99	60
1	100	61
2	1	69
2	2	47
2	3	17
2	4	49
2	5	61
2	6	86
2	7	5
2	8	61
2	9	35
2	10	71
2	11	18
2	12	8
2	13	40
2	14	19
2	15	9
2	16	74
2	17	70
2	18	26
2	19	76
2	20	42
2	21	34
2	22	2
2	23	60
2	24	55
2	25	78
2	26	89
2	27	93
2	28	18
2	29	42
2	30	76
2	31	6
2	32	60
2	33	62
2	34	51
2	35	22
2	36	47
2	37	85
2	38	77
2	39	17
2	40	29
2	41	5
2	42	6
2	43	32
2	44	83
2	45	63
2	46	24
2	47	73
2	48	45
2	49	83
2	50	99
2	51	59
2	52	93
2	53	84
2	54	41
2	55	49
2	56	88
2	57	97
2	58	63
2	59	75
2	60	39
2	61	77
2	62	14
2	63	31
2	64	41
2	65	86
2	66	68
2	67	0
2	68	94
2	69	4
2	70	34
2	71	72
2	72	64
2	73	33
2	74	66
2	75	31
2	76	22
2	77	90
2	78	40
2	79	41
2	80	29
2	81	99
2	82	34
2	83	55
2	84	29
2	85	3
2	86	6
2	87	0
2	88	69
2	89	19
2	90	47
2	91	49
2	92	84
2	93	6
2	94	58
2	95	68
2	96	65
2	97	79
2	98	54
2	99	0
2	100	76
3	1	53
3	2	49
3	3	42
3	4	86
3	5	17
3	6	82
3	7	88
3	8	86
3	9	17
3	10	74
3	11	23
3	12	11
3	13	48
3	14	26
3	15	69
3	16	49
3	17	9
3	18	34
3	19	85
3	20	21
3	21	89
3	22	69
3	23	19
3	24	19
3	25	60
3	26	3
3	27	12
3	28	91
3	29	53
3	30	51
3	31	53
3	32	62
3	33	67
3	34	59
3	35	11
3	36	30
3	37	40
3	38	83
3	39	98
3	40	76
3	41	83
3	42	99
3	43	83
3	44	58
3	45	71
3	46	77
3	47	5
3	48	17
3	49	93
3	50	5
3	51	35
3	52	98
3	53	53
3	54	31
3	55	37
3	56	92
3	57	2
3	58	9
3	59	30
3	60	51
3	61	48
3	62	53
3	63	87
3	64	21
3	65	37
3	66	86
3	67	58
3	68	63
3	69	44
3	70	45
3	71	20
3	72	71
3	73	98
3	74	97
3	75	11
3	76	14
3	77	60
3	78	48
3	79	59
3	80	5
3	81	71
3	82	20
3	83	53
3	84	22
3	85	45
3	86	24
3	87	26
3	88	9
3	89	69
3	90	42
3	91	48
3	92	25
3	93	44
3	94	90
3	95	55
