day	hour	value
1	1	15
1	2	85
1	3	30
1	4	77
1	5	83
1	6	45
1	7	63
1	8	57
1	9	60
2	1	19
2	2	47
2	3	54
2	4	7
2	5	41
2	6	81
2	7	33
2	8	89
2	9	57
3	1	35
3	2	14
3	3	46
3	4	19
3	5	34
3	6	40
3	7	98
3	8	60
3	9	75
4	1	22
4	2	38
4	3	24
4	4	91
4	5	22
4	6	79
4	7	75
4	8	37
4	9	93
5	1	12
5	2	15
5	3	88
5	4	73
5	5	36
5	6	64
5	7	69
5	8	96
5	9	12
6	1	95
6	2	48
6	3	82
6	4	55
6	5	98
6	6	13
6	7	22
6	8	25
6	9	85
7	1	14
7	2	79
7	3	44
7	4	19
7	5	51
7	6	71
7	7	9
7	8	65
7	9	23
8	1	59
8	2	22
8	3	18
8	4	71
8	5	36
8	6	55
8	7	96
8	8	36
8	9	45
9	1	67
9	2	68
9	3	17
9	4	80
9	5	11
9	6	59
9	7	9
9	8	40
9	9	26
