day	hour	value
1	1	42
1	2	63
1	3	87
1	4	94
1	5	65
1	6	61
1	7	22
1	8	22
1	9	93
2	1	23
2	2	11
2	3	88
2	4	53
2	5	57
2	6	47
2	7	54
2	8	62
2	9	52
3	1	98
3	2	33
3	3	8
3	4	8
3	5	74
3	6	51
3	7	82
3	8	73
3	9	24
4	1	28
4	2	11
4	3	98
4	4	59
4	5	3
4	6	65
4	7	84
4	8	89
4	9	2
5	1	51
5	2	62
5	3	23
5	4	55
5	5	28
5	6	61
5	7	21
5	8	23
5	9	61
6	1	29
6	2	54
6	3	62
6	4	25
6	5	35
6	6	84
6	7	37
6	8	60
6	9	29
7	1	48
7	2	67
7	3	41
7	4	76
7	5	14
7	6	56
7	7	41
7	8	84
7	9	79
8	1	16
8	2	23
8	3	27
8	4	74
8	5	95
8	6	9
8	7	89
8	8	79
8	9	10
9	1	3
9	2	65
9	3	67
9	4	12
9	5	19
9	6	7
9	7	34
9	8	7
9	9	69
