day	hour	value
1	1	50
1	2	14
1	3	79
1	4	43
1	5	17
1	6	36
1	7	92
1	8	26
1	9	1
2	1	25
2	2	15
2	3	21
2	4	58
2	5	25
2	6	83
2	7	89
2	8	68
2	9	50
3	1	47
3	2	43
3	3	10
3	4	75
3	5	10
3	6	88
3	7	53
3	8	62
3	9	98
4	1	79
4	2	23
4	3	32
4	4	73
4	5	43
4	6	9
4	7	64
4	8	62
4	9	3
5	1	99
5	2	7
5	3	53
5	4	91
5	5	83
5	6	74
5	7	61
5	8	36
5	9	89
6	1	8
6	2	40
6	3	28
6	4	35
6	5	66
6	6	77
6	7	89
6	8	23
6	9	10
7	1	68
7	2	32
7	3	38
7	4	89
7	5	24
7	6	18
7	7	69
7	8	94
7	9	32
8	1	60
8	2	33
8	3	32
8	4	38
8	5	46
8	6	19
8	7	65
8	8	40
8	9	61
9	1	96
9	2	24
9	3	0
9	4	13
9	5	35
9	6	71
9	7	23
9	8	50
9	9	8
